L	a	b	R	G	B	Group
17.7710029	1.135871037	-0.326846784	44.99999755	43.00000387	43.99999945	3
18.30957318	1.60822349	-1.614792366	45.99999761	44.00000389	46.99999952	3
18.70686555	1.1280792	-0.324812629	46.99999747	45.00000399	45.99999943	3
18.93732313	-5.01973E-06	2.00789E-06	45.99999764	46.0000038	45.99999941	3
19.48760879	1.969922613	-10.93368563	40.99999952	47.0000028	63.00000003	3
19.77734342	2.077838409	-2.870023026	48.99999759	47.00000405	51.99999957	3
20.12000183	5.019271011	-12.65298452	45.999999	47.00000331	67.00000009	3
20.14012271	6.733008214	-21.45515331	38.00000177	47.000002	80.00000048	3
20.7936025	4.469923986	-15.69529007	43.00000011	49.00000273	73.00000023	2
22.16043791	-5.48282E-06	2.19313E-06	52.99999736	53.00000425	52.99999934	3
22.74542818	5.932499335	-9.89710917	55.99999782	52.00000439	68.9999999	2
22.80824115	33.4423247	11.48004193	100.9999917	28.000026	38.99999777	12
22.8684122	7.153332687	-14.4145005	53.9999986	52.00000393	76.00000013	2
22.90195722	2.661042333	-9.701828652	50.99999865	54.00000363	68.99999991	2
23.1854712	6.07250456	-11.23674954	55.99999806	53.00000426	71.99999997	2
23.22463184	6.544544225	-13.18965303	54.99999842	53.00000405	75.00000006	2
23.31350664	4.462249439	-9.711475231	54.99999811	54.00000412	69.99999989	2
23.72172544	5.259776438	-15.77643772	50.99999954	55.00000332	80.0000002	2
23.95009859	1.216027331	-9.444105323	50.99999892	57.00000348	70.99999989	2
24.21495535	7.064023285	-14.30738256	56.99999847	55.00000412	79.0000001	2
24.35655799	6.803576794	-20.07014157	50.00000049	56.00000296	88.00000038	2
24.57528676	0.900863829	-15.15401679	45.00000097	59.00000256	81.00000018	2
24.59997596	-14.38048997	-10.64622152	2.000017973	65.00000055	74.00000005	2
24.66797313	7.509311999	-16.9161903	55.99999906	56.00000381	84.00000022	2
25.08869795	3.810837267	-18.28291651	48.00000094	59.00000271	87.00000031	2
25.09405204	4.7541916	-12.29410028	56.99999852	58.00000402	78	2
25.23055076	3.150776197	-10.77216525	55.99999858	59.0000039	75.99999993	2
25.26359685	27.25759962	9.346849899	99.99999207	41.00001772	46.99999809	12
25.96390948	3.120366044	-14.93078732	52.9999998	61.00000329	84.00000014	2
26.1931251	-15.28062676	-10.84486144	1.000020316	69.00000056	78.00000005	2
26.20384229	-4.479337295	-25.10667523	2.82863E-05	65.99999991	100.0000007	2
26.91004326	4.953187535	-12.76434812	60.99999842	62.00000425	83	2
27.70556895	5.003496549	-15.45437071	59.99999912	64.0000039	89.00000013	2
28.07390415	7.133411886	-18.75734811	60.99999944	64.00000387	95.00000028	2
28.36583612	5.349240124	-11.80039753	65.99999792	65.00000473	84.99999992	2
28.81607603	28.92391704	5.229822973	109.9999916	48.00001824	60.99999842	12
29.38282761	11.32455865	-31.39102597	54.00000342	66.00000232	118.0000008	2
29.5082719	1.05374277	-0.305018872	70.99999652	69.00000551	69.9999992	2
29.57672358	13.41432232	-29.78534362	62.0000013	65.00000332	116.0000007	2
29.58326093	11.1209913	-26.61413439	62.00000082	66.00000346	111.0000006	2
29.85203856	5.662367584	-20.48428032	60.00000048	69.00000343	102.0000004	2
29.99776373	0.828807872	-11.28217446	61.99999903	71.00000395	87.9999999	2
30.11514013	9.203616642	-13.57004364	74.99999716	67.00000574	91.99999996	2
30.78362892	-0.131155404	9.326486339	77.99999529	72.00000649	57.99999832	2
31.10655843	2.283614014	-13.41161085	64.99999908	73.0000041	93.99999999	2
31.15839989	-10.7085163	2.585381703	55.99999907	78.00000354	68.99999904	2
31.21624244	9.685410192	-21.47262622	69.99999915	70.00000448	107.0000004	2
31.2709391	-14.04949509	-4.377485388	40.00000354	80.00000216	79.99999957	2
31.54221497	-13.05410252	-0.098793574	49.00000085	80.00000287	73.99999926	2
31.80774642	4.273316744	-18.05379588	64.99999986	74.00000386	103.0000002	2
32.21821799	7.445904557	-25.61788453	62.00000171	74.00000317	116.0000006	2
32.37383261	7.336932972	-21.57464559	67.99999993	74.00000402	110.0000004	2
32.54754104	51.2089635	14.82167411	148.999988	24.00006813	55.99999682	19
32.92237001	3.850445169	-20.1165957	64.00000074	77.00000353	109.0000003	2
32.99492497	11.73326445	-22.43370851	76.99999859	73.00000514	113.0000004	2
33.29181181	8.599382815	-27.03754219	65.00000169	76.00000331	121.0000006	2
